recipe_id,tag_id
1,65
1,9
1,47
1,124
1,40
1,110
1,113
1,2
1,33
1,126
1,46
1,1
1,115
1,117
1,29
1,15
1,105
1,92
1,103
1,116
2,102
2,9
2,47
2,124
2,40
2,110
2,113
2,2
2,13
2,89
2,51
2,122
2,79
2,1
2,125
2,30
2,105
2,63
2,50
2,83
3,9
3,47
3,110
3,89
3,27
3,95
3,105
3,83
3,68
4,65
4,9
4,47
4,124
4,110
4,113
4,33
4,76
4,37
4,126
4,79
4,1
4,7
4,117
4,93
4,24
4,60
4,105
4,92
4,56
4,123
4,90
4,49
4,114
4,85
4,100
4,99
4,83
4,80
4,61
5,78
5,9
5,47
5,124
5,40
5,110
5,113
5,2
5,11
5,97
5,126
5,122
5,74
5,117
5,29
5,105
5,106
5,63
5,55
5,20
5,68
6,35
6,9
6,47
6,124
6,40
6,110
6,113
6,2
6,28
6,48
6,17
6,64
6,122
6,1
6,125
6,105
6,32
6,81
6,121
6,62
6,4
6,55
6,80
6,23
6,91
7,35
7,9
7,47
7,124
7,40
7,110
7,113
7,2
7,70
7,64
7,42
7,7
7,119
7,29
7,84
7,105
7,83
7,55
8,78
8,9
8,47
8,124
8,40
8,110
8,113
8,2
8,107
8,89
8,51
8,79
8,117
8,60
8,31
8,94
8,127
8,90
8,50
8,72
8,66
8,120
8,34
8,109
8,69
8,83
8,68
9,78
9,9
9,47
9,124
9,110
9,22
9,45
9,67
9,82
9,18
9,21
9,125
9,39
9,59
9,111
9,105
9,85
9,83
9,55
9,20
9,68
10,78
10,9
10,47
10,124
10,110
10,113
10,96
10,13
10,64
10,79
10,105
10,14
10,38
10,44
10,43
10,100
10,83
10,55
10,68
11,35
11,9
11,47
11,110
11,28
11,73
11,48
11,97
11,1
11,105
11,32
11,62
11,91
12,78
12,9
12,47
12,124
12,110
12,113
12,28
12,22
12,45
12,64
12,58
12,59
12,105
12,32
12,6
12,62
12,101
12,53
12,34
13,78
13,9
13,47
13,124
13,40
13,110
13,113
13,2
13,33
13,10
13,122
13,58
13,79
13,41
13,118
13,83
14,9
14,124
14,110
14,126
14,105
14,19
14,16
15,35
15,9
15,110
15,1
15,55
16,78
16,9
16,47
16,124
16,110
16,89
16,51
16,95
16,105
16,50
16,54
16,83
17,65
17,9
17,47
17,124
17,40
17,110
17,2
17,48
17,70
17,33
17,76
17,122
17,104
17,1
17,29
17,24
17,8
17,105
17,14
17,55
17,20
18,35
18,9
18,47
18,110
18,113
18,48
18,45
18,1
18,125
18,57
18,105
18,55
19,78
19,9
19,47
19,124
19,40
19,110
19,113
19,2
19,89
19,5
19,51
19,126
19,122
19,41
19,7
19,74
19,117
19,125
19,15
19,60
19,105
19,3
19,103
19,50
19,118
19,83
19,68
20,87
20,78
20,9
20,47
20,124
20,40
20,110
20,113
20,2
20,26
20,25
20,37
20,126
20,122
20,36
20,119
20,29
20,52
20,60
20,105
20,103
20,98
20,108
20,83
20,112
20,68
21,65
21,9
21,47
21,124
21,110
21,113
21,28
21,73
21,26
21,67
21,25
21,126
21,1
21,75
21,115
21,117
21,36
21,15
21,52
21,60
21,105
21,32
21,86
21,103
21,121
21,6
21,71
21,49
21,85
21,88
21,62
21,19
21,77
21,34
21,109
21,83
21,112
21,55
21,80
21,61
22,65
22,9
22,47
22,124
22,110
22,113
22,26
22,89
22,25
22,126
22,119
22,29
22,60
22,105
22,3
22,86
22,12
22,121
22,6
22,62
22,34
22,83
