id,name
1,easy
2,north-american
3,one-dish-meal
4,apples
5,beef
6,comfort-food
7,dinner-party
8,deep-fry
9,time-to-make
10,beans
11,canning
12,low-saturated-fat
13,breakfast
14,oamc-freezer-make-ahead
15,winter
16,collard-greens
17,beverages
18,no-cook
19,greens
20,technique
21,refrigerator
22,pies-and-tarts
23,served-cold
24,cheese
25,soups-stews
26,bisques-cream-soups
27,chili
28,low-protein
29,vegetarian
30,pizza
31,hawaiian
32,low-sodium
33,side-dishes
34,taste-mood
35,15-minutes-or-less
36,spring
37,potatoes
38,quick-breads
39,frozen-desserts
40,cuisine
41,potluck
42,canadian
43,bananas
44,tropical-fruit
45,desserts
46,mexican
47,course
48,5-ingredients-or-less
49,st-patricks-day
50,meat
51,pork
52,food-processor-blender
53,strawberries
54,pork-chops
55,number-of-servings
56,new-years
57,candy
58,1-day-or-more
59,pies
60,stove-top
61,served-hot
62,low-in-something
63,northeastern-united-states
64,fruit
65,60-minutes-or-less
66,super-bowl
67,lunch
68,4-hours-or-less
69,sweet
70,appetizers
71,low-carb
72,pork-ribs
73,healthy
74,heirloom-historical
75,beginner-cook
76,eggs-dairy
77,spinach
78,weeknight
79,oven
80,presentation
81,shakes
82,snacks
83,equipment
84,freezer
85,inexpensive
86,low-cholesterol
87,lactose
88,healthy-2
89,main-dish
90,independence-day
91,3-steps-or-less
92,christmas
93,easter
94,spicy
95,crock-pot-slow-cooker
96,breads
97,condiments-etc
98,free-of-something
99,superbowl
100,brunch
101,berries
102,30-minutes-or-less
103,seasonal
104,southwestern-united-states
105,dietary
106,amish-mennonite
107,south-west-pacific
108,cauliflower
109,savory
110,preparation
111,chocolate
112,small-appliance
113,occasion
114,valentines-day
115,fall
116,squash
117,holiday-event
118,to-go
119,vegan
120,novelty
121,low-calorie
122,american
123,thanksgiving
124,main-ingredient
125,kid-friendly
126,vegetables
127,copycat
